# N c mu sigma av_time av_div error_av_div samples_div nsamples prob_div error_prob av_m error_av_m
8192 435 950 0 20.464300 0.000000 0.000000 0 10000 0.000000 0.000000 0.736580 0.000036
8192 435 1050 0 593.838600 0.198000 0.009169 585 10000 0.058500 0.002347 0.728460 0.000037
8192 435 1100 0 593.838600 0.198000 0.009169 585 10000 0.058500 0.002347 0.728460 0.000037
8192 435 1500 0 593.838600 0.198000 0.009169 585 10000 0.058500 0.002347 0.728460 0.000037
8192 489 700 0 12.508000 0.000000 0.000000 0 10000 0.000000 0.000000 0.762020 0.000030
8192 489 700 150 12.724700 0.000000 0.000000 0 10000 0.000000 0.000000 0.763097 0.000031
8192 489 900 0 17.199200 0.000000 0.000000 0 10000 0.000000 0.000000 0.724432 0.000035
8192 489 950 0 24.704400 0.000000 0.000000 0 10000 0.000000 0.000000 0.715848 0.000036
8192 489 1050 0 785.195000 0.285800 0.011398 776 10000 0.077600 0.002675 0.707545 0.000038
8192 489 1100 0 785.195000 0.285800 0.011398 776 10000 0.077600 0.002675 0.707545 0.000038
8192 489 1500 0 785.195000 0.285800 0.011398 776 10000 0.077600 0.002675 0.707545 0.000038
8192 544 700 0 13.596900 0.000000 0.000000 0 10000 0.000000 0.000000 0.743466 0.000030
8192 544 700 150 13.974000 0.000000 0.000000 0 10000 0.000000 0.000000 0.744693 0.000031
8192 544 900 0 19.250800 0.000000 0.000000 0 10000 0.000000 0.000000 0.704976 0.000034
8192 544 950 0 28.296700 0.000000 0.000000 0 10000 0.000000 0.000000 0.696251 0.000036
8192 544 1050 0 962.573700 0.397800 0.014962 953 10000 0.095300 0.002936 0.687828 0.000037
8192 544 1100 0 962.573700 0.397800 0.014962 953 10000 0.095300 0.002936 0.687828 0.000037
8192 544 1500 0 962.573500 0.397800 0.014962 953 10000 0.095300 0.002936 0.687828 0.000037
8192 598 700 0 14.616000 0.000000 0.000000 0 10000 0.000000 0.000000 0.726330 0.000030
8192 598 700 150 14.948300 0.000000 0.000000 0 10000 0.000000 0.000000 0.727715 0.000031
8192 598 900 0 20.741900 0.000000 0.000000 0 10000 0.000000 0.000000 0.687209 0.000034
8192 598 950 0 30.599700 0.000000 0.000000 0 10000 0.000000 0.000000 0.678404 0.000035
8192 598 1050 0 1015.054800 0.431000 0.015365 1005 10000 0.100500 0.003007 0.669925 0.000037
8192 598 1100 0 1015.054800 0.431000 0.015365 1005 10000 0.100500 0.003007 0.669925 0.000037
8192 598 1500 0 1015.054800 0.431000 0.015365 1005 10000 0.100500 0.003007 0.669925 0.000037
8192 652 700 0 15.729200 0.000000 0.000000 0 10000 0.000000 0.000000 0.710071 0.000030
8192 652 700 150 16.144800 0.000000 0.000000 0 10000 0.000000 0.000000 0.711600 0.000031
8192 652 900 0 22.885200 0.000000 0.000000 0 10000 0.000000 0.000000 0.670521 0.000034
8192 652 950 0 34.367600 0.000000 0.000000 0 10000 0.000000 0.000000 0.661680 0.000036
8192 652 1050 0 1195.372400 0.532500 0.017929 1185 10000 0.118500 0.003232 0.653183 0.000037
8192 652 1100 0 1195.372400 0.532500 0.017929 1185 10000 0.118500 0.003232 0.653183 0.000037
8192 652 1500 0 1195.372200 0.532500 0.017929 1185 10000 0.118500 0.003232 0.653183 0.000037
