#N  c  mu  sigma  av_time_conv  std_time_conv  samples_div  samples_mult_eq  prob_div  error_prob  runtime(s)  std_runtime(s)  nsamples
2048 220 1500 0 57.546785 4.343145 0 0 0.000000 0.000000 0.051452 0.005720 10050
2048 220 3000 0 26.792448 4.877091 14 0 0.001393 0.000372 0.070912 0.010234 10050
2048 220 800 0 206.423668 74.427147 0 0 0.000000 0.000000 0.054497 0.012560 10050
2048 330 800 0 273.902335 162.343635 0 0 0.000000 0.000000 0.062592 0.016550 10050
2048 330 1100 0 187.244645 7.420819 0 0 0.000000 0.000000 0.067101 0.007779 10050
2048 330 1500 0 59.200722 3.559311 1 0 0.000100 0.000099 0.058588 0.005739 10050
2048 330 3000 0 30.255306 6.689606 55 0 0.005473 0.000736 0.084334 0.010824 10050
2048 330 900 0 703.298379 311.946622 0 0 0.000000 0.000000 0.129974 0.046196 10050
2048 430 800 0 401.262025 311.850446 0 0 0.000000 0.000000 0.090335 0.039623 10050
2048 430 900 0 942.759934 435.238113 0 0 0.000000 0.000000 0.177432 0.072696 10050
2048 430 1500 0 60.129809 4.718338 11 0 0.001095 0.000330 0.075456 0.007982 10050
2048 430 3000 0 34.303750 7.993236 109 0 0.010846 0.001033 0.104083 0.013872 10050
2048 430 1100 0 188.743209 9.802893 0 0 0.000000 0.000000 0.086917 0.008646 10050
2048 540 800 0 594.184146 451.933405 0 0 0.000000 0.000000 0.131945 0.068753 10050
2048 540 900 0 1202.476341 453.952947 0 0 0.000000 0.000000 0.253506 0.091576 10050
2048 540 1100 0 192.369849 33.372009 0 0 0.000000 0.000000 0.106720 0.023554 10050
2048 540 3000 0 38.627180 9.223239 199 0 0.019801 0.001390 0.121088 0.018494 10050
2048 540 1500 0 61.301694 6.297318 22 0 0.002189 0.000466 0.084202 0.008636 10050
2048 650 800 0 816.112358 538.735419 0 0 0.000000 0.000000 0.191811 0.097140 10050
2048 650 900 0 1419.938638 402.555665 0 0 0.000000 0.000000 0.354415 0.105255 10050
2048 650 1100 0 196.557287 25.870857 1 0 0.000100 0.000099 0.118961 0.016695 10050
2048 650 1500 0 63.347468 8.543184 31 0 0.003085 0.000553 0.093479 0.012562 10050
2048 650 3000 0 43.134892 10.591111 304 0 0.030249 0.001708 0.148236 0.024649 10050
2048 760 800 0 1029.950728 578.261686 0 0 0.000000 0.000000 0.253368 0.118970 10050
2048 760 900 0 1569.837604 332.100838 0 0 0.000000 0.000000 0.420974 0.104185 10050
2048 760 1100 0 201.945775 38.654702 3 0 0.000299 0.000172 0.139923 0.042295 10050
2048 760 1500 0 66.052160 10.827069 60 0 0.005970 0.000768 0.106265 0.013538 10050
2048 760 3000 0 47.915028 12.203918 447 0 0.044478 0.002056 0.168209 0.030185 10050
2048 870 900 0 1670.985925 293.330731 0 0 0.000000 0.000000 0.493247 0.109931 10050
2048 870 1100 0 206.702606 45.460090 7 0 0.000697 0.000263 0.143916 0.028860 10050
2048 870 1500 0 69.999275 37.331531 107 0 0.010647 0.001024 0.132881 0.073789 10050
2048 870 3000 0 53.237531 13.927180 551 0 0.054826 0.002271 0.201175 0.039443 10050
2048 870 800 0 1229.347790 576.697762 0 0 0.000000 0.000000 0.328221 0.135683 10050
2048 980 800 0 1389.605073 544.271341 0 0 0.000000 0.000000 0.387529 0.142545 10050
2048 980 1100 0 212.435589 83.457689 10 0 0.000995 0.000314 0.158375 0.046769 10050
2048 980 1500 0 73.765400 14.302024 144 0 0.014328 0.001185 0.144847 0.024773 10050
2048 980 3000 0 58.695763 15.503492 647 0 0.064378 0.002448 0.225612 0.045978 10050
2048 980 900 0 1745.126146 265.304167 0 0 0.000000 0.000000 0.566253 0.117291 10050
2048 1090 800 0 1526.478100 490.140064 0 0 0.000000 0.000000 0.460643 0.147034 10050
2048 1090 900 0 1800.416561 262.004599 0 0 0.000000 0.000000 0.679579 0.139148 10050
2048 1090 1500 0 77.533931 16.028900 192 0 0.019104 0.001366 0.148626 0.029220 10050
2048 1090 3000 0 65.263190 83.058198 931 0 0.092637 0.002892 0.268869 0.302888 10050
2048 1090 1100 0 214.889376 91.817299 19 0 0.001891 0.000433 0.176538 0.057935 10050
2048 1200 800 0 1611.391234 446.152718 0 0 0.000000 0.000000 0.527335 0.151103 10050
2048 1200 900 0 1844.106217 261.129867 0 0 0.000000 0.000000 0.699879 0.137410 10050
2048 1200 1100 0 219.690841 118.984016 29 0 0.002886 0.000535 0.186640 0.073645 10050
2048 1200 3000 0 70.955173 37.463760 1137 0 0.113134 0.003160 0.294357 0.124261 10050
